raceId,year,round,name,date,time
996,2018,8,French Grand Prix,6/24/2018,14:10:00
997,2018,9,Austrian Grand Prix,7/1/2018,13:10:00
998,2018,10,British Grand Prix,7/8/2018,13:10:00
999,2018,11,German Grand Prix,7/22/2018,13:10:00
1000,2018,12,Hungarian Grand Prix,7/29/2018,13:10:00
1001,2018,13,Belgian Grand Prix,8/26/2018,13:10:00
1002,2018,14,Italian Grand Prix,9/2/2018,13:10:00
1003,2018,15,Singapore Grand Prix,9/16/2018,12:10:00
1004,2018,16,Russian Grand Prix,9/30/2018,11:10:00
1005,2018,17,Japanese Grand Prix,10/7/2018,5:10:00
1006,2018,18,United States Grand Prix,10/21/2018,18:10:00
1007,2018,19,Mexican Grand Prix,10/28/2018,19:10:00
1008,2018,20,Brazilian Grand Prix,11/11/2018,17:10:00
1009,2018,21,Abu Dhabi Grand Prix,11/25/2018,13:10:00
1010,2019,1,Australian Grand Prix,3/17/2019,5:10:00
1011,2019,2,Bahrain Grand Prix,3/31/2019,15:10:00
1012,2019,3,Chinese Grand Prix,4/14/2019,6:10:00
1013,2019,4,Azerbaijan Grand Prix,4/28/2019,12:10:00
1014,2019,5,Spanish Grand Prix,5/12/2019,13:10:00
1015,2019,6,Monaco Grand Prix,5/26/2019,13:10:00
1016,2019,7,Canadian Grand Prix,6/9/2019,18:10:00
1017,2019,8,French Grand Prix,6/23/2019,13:10:00
1018,2019,9,Austrian Grand Prix,6/30/2019,13:10:00
1019,2019,10,British Grand Prix,7/14/2019,13:10:00
1020,2019,11,German Grand Prix,7/28/2019,13:10:00
1021,2019,12,Hungarian Grand Prix,8/4/2019,13:10:00
1022,2019,13,Belgian Grand Prix,9/1/2019,13:10:00
1023,2019,14,Italian Grand Prix,9/8/2019,13:10:00
1024,2019,15,Singapore Grand Prix,9/22/2019,12:10:00
1025,2019,16,Russian Grand Prix,9/29/2019,11:10:00
1026,2019,17,Japanese Grand Prix,10/13/2019,5:10:00
1027,2019,18,Mexican Grand Prix,10/27/2019,19:10:00
1028,2019,19,United States Grand Prix,11/3/2019,19:10:00
1029,2019,20,Brazilian Grand Prix,11/17/2019,17:10:00
1030,2019,21,Abu Dhabi Grand Prix,12/1/2019,13:10:00
1031,2020,1,Austrian Grand Prix,7/5/2020,13:10:00
1032,2020,2,Styrian Grand Prix,7/12/2020,13:10:00
1033,2020,3,Hungarian Grand Prix,7/19/2020,13:10:00
1034,2020,4,British Grand Prix,8/2/2020,13:10:00
1035,2020,5,70th Anniversary Grand Prix,8/9/2020,13:10:00
1036,2020,6,Spanish Grand Prix,8/16/2020,13:10:00
1037,2020,7,Belgian Grand Prix,8/30/2020,13:10:00
1038,2020,8,Italian Grand Prix,9/6/2020,13:10:00
1039,2020,9,Tuscan Grand Prix,9/13/2020,13:10:00
1040,2020,10,Russian Grand Prix,9/27/2020,11:10:00
1041,2020,11,Eifel Grand Prix,10/11/2020,13:10:00
1042,2020,12,Portuguese Grand Prix,10/25/2020,12:10:00
1043,2020,13,Emilia Romagna Grand Prix,11/1/2020,12:10:00
1044,2020,14,Turkish Grand Prix,11/15/2020,10:10:00
1045,2020,15,Bahrain Grand Prix,11/29/2020,14:10:00
1046,2020,16,Sakhir Grand Prix,12/6/2020,17:10:00
1047,2020,17,Abu Dhabi Grand Prix,12/13/2020,13:10:00
1051,2021,20,Qatar Grand Prix,11/21/2021,14:00:00
1052,2021,1,Bahrain Grand Prix,3/28/2021,15:00:00
1053,2021,2,Emilia Romagna Grand Prix,4/18/2021,13:00:00
1054,2021,3,Portuguese Grand Prix,5/2/2021,14:00:00
1055,2021,4,Spanish Grand Prix,5/9/2021,13:00:00
1056,2021,5,Monaco Grand Prix,5/23/2021,13:00:00
1057,2021,6,Azerbaijan Grand Prix,6/6/2021,12:00:00
1058,2021,8,Styrian Grand Prix,6/27/2021,13:00:00
1059,2021,7,French Grand Prix,6/20/2021,13:00:00
1060,2021,9,Austrian Grand Prix,7/4/2021,13:00:00
1061,2021,10,British Grand Prix,7/18/2021,14:00:00
1062,2021,11,Hungarian Grand Prix,8/1/2021,13:00:00
1063,2021,12,Belgian Grand Prix,8/29/2021,13:00:00
1064,2021,13,Dutch Grand Prix,9/5/2021,13:00:00
1065,2021,14,Italian Grand Prix,9/12/2021,13:00:00
1066,2021,15,Russian Grand Prix,9/26/2021,12:00:00
1067,2021,16,Turkish Grand Prix,10/10/2021,12:00:00
1069,2021,17,United States Grand Prix,10/24/2021,19:00:00
1070,2021,18,Mexico City Grand Prix,11/7/2021,19:00:00
1071,2021,19,São Paulo Grand Prix,11/14/2021,17:00:00
1072,2021,21,Saudi Arabian Grand Prix,12/5/2021,17:30:00
1073,2021,22,Abu Dhabi Grand Prix,12/12/2021,13:00:00
1074,2022,1,Bahrain Grand Prix,3/20/2022,15:00:00
1075,2022,2,Saudi Arabian Grand Prix,3/27/2022,17:00:00
1076,2022,3,Australian Grand Prix,4/10/2022,5:00:00
1077,2022,4,Emilia Romagna Grand Prix,4/24/2022,13:00:00
1078,2022,5,Miami Grand Prix,5/8/2022,19:30:00
1079,2022,6,Spanish Grand Prix,5/22/2022,13:00:00
1080,2022,7,Monaco Grand Prix,5/29/2022,13:00:00
1081,2022,8,Azerbaijan Grand Prix,6/12/2022,11:00:00
1082,2022,9,Canadian Grand Prix,6/19/2022,18:00:00
1083,2022,10,British Grand Prix,7/3/2022,14:00:00
1084,2022,11,Austrian Grand Prix,7/10/2022,13:00:00
1085,2022,12,French Grand Prix,7/24/2022,13:00:00
1086,2022,13,Hungarian Grand Prix,7/31/2022,13:00:00
1087,2022,14,Belgian Grand Prix,8/28/2022,13:00:00
1088,2022,15,Dutch Grand Prix,9/4/2022,13:00:00
1089,2022,16,Italian Grand Prix,9/11/2022,13:00:00
1091,2022,17,Singapore Grand Prix,10/2/2022,12:00:00
1092,2022,18,Japanese Grand Prix,10/9/2022,5:00:00
1093,2022,19,United States Grand Prix,10/23/2022,19:00:00
1094,2022,20,Mexico City Grand Prix,10/30/2022,20:00:00
1095,2022,21,São Paulo Grand Prix,11/13/2022,18:00:00
1096,2022,22,Abu Dhabi Grand Prix,11/20/2022,13:00:00
1098,2023,1,Bahrain Grand Prix,3/5/2023,15:00:00
1099,2023,2,Saudi Arabian Grand Prix,3/19/2023,17:00:00
1100,2023,3,Australian Grand Prix,4/2/2023,5:00:00
1101,2023,4,Azerbaijan Grand Prix,4/30/2023,11:00:00
1102,2023,5,Miami Grand Prix,5/7/2023,19:30:00
1104,2023,6,Monaco Grand Prix,5/28/2023,13:00:00
1105,2023,7,Spanish Grand Prix,6/4/2023,13:00:00
1106,2023,8,Canadian Grand Prix,6/18/2023,18:00:00
1107,2023,9,Austrian Grand Prix,7/2/2023,13:00:00
1108,2023,10,British Grand Prix,7/9/2023,14:00:00
1109,2023,11,Hungarian Grand Prix,7/23/2023,13:00:00
1110,2023,12,Belgian Grand Prix,7/30/2023,13:00:00
1111,2023,13,Dutch Grand Prix,8/27/2023,13:00:00
1112,2023,14,Italian Grand Prix,9/3/2023,13:00:00
1113,2023,15,Singapore Grand Prix,9/17/2023,12:00:00
1114,2023,16,Japanese Grand Prix,9/24/2023,5:00:00
1115,2023,17,Qatar Grand Prix,10/8/2023,17:00:00
1116,2023,18,United States Grand Prix,10/22/2023,19:00:00
1117,2023,19,Mexico City Grand Prix,10/29/2023,20:00:00
1118,2023,20,São Paulo Grand Prix,11/5/2023,17:00:00
1119,2023,21,Las Vegas Grand Prix,11/19/2023,6:00:00
1120,2023,22,Abu Dhabi Grand Prix,11/26/2023,13:00:00
1121,2024,1,Bahrain Grand Prix,3/2/2024,15:00:00
1122,2024,2,Saudi Arabian Grand Prix,3/9/2024,17:00:00
1123,2024,3,Australian Grand Prix,3/24/2024,4:00:00
1124,2024,4,Japanese Grand Prix,4/7/2024,5:00:00
1125,2024,5,Chinese Grand Prix,4/21/2024,7:00:00
1126,2024,6,Miami Grand Prix,5/5/2024,20:00:00
1127,2024,7,Emilia Romagna Grand Prix,5/19/2024,13:00:00
1128,2024,8,Monaco Grand Prix,5/26/2024,13:00:00
1129,2024,9,Canadian Grand Prix,6/9/2024,18:00:00
1130,2024,10,Spanish Grand Prix,6/23/2024,13:00:00
1131,2024,11,Austrian Grand Prix,6/30/2024,13:00:00
1132,2024,12,British Grand Prix,7/7/2024,14:00:00
1133,2024,13,Hungarian Grand Prix,7/21/2024,13:00:00
1134,2024,14,Belgian Grand Prix,7/28/2024,13:00:00
1135,2024,15,Dutch Grand Prix,8/25/2024,13:00:00
1136,2024,16,Italian Grand Prix,9/1/2024,13:00:00
1137,2024,17,Azerbaijan Grand Prix,9/15/2024,11:00:00
1138,2024,18,Singapore Grand Prix,9/22/2024,12:00:00
1139,2024,19,United States Grand Prix,10/20/2024,19:00:00
1140,2024,20,Mexico City Grand Prix,10/27/2024,20:00:00
1141,2024,21,São Paulo Grand Prix,11/3/2024,17:00:00
1142,2024,22,Las Vegas Grand Prix,11/23/2024,6:00:00
1143,2024,23,Qatar Grand Prix,12/1/2024,17:00:00
1144,2024,24,Abu Dhabi Grand Prix,12/8/2024,13:00:00
